subject,FBCSP+LDA,LogVar+LDA,Riemann-MDM,Riemann-TS+SVM
1,0.6858,0.7065,0.5208,0.7559
2,0.5267,0.6858,0.5227,0.8864
3,0.5069,0.4862,0.5573,0.5751
4,0.5366,0.5,0.6858,0.666
5,0.5327,0.5,0.506,0.494
6,0.4286,0.6042,0.5327,0.5476
7,0.5771,0.753,0.5455,0.8182
8,0.5346,0.6848,0.5,0.7134
9,0.5327,0.5238,0.5,0.6369
10,0.5238,0.6012,0.5208,0.6696
11,0.5702,0.5277,0.5,0.7085
12,0.4583,0.5387,0.5208,0.5208
13,0.6028,0.5217,0.5,0.6937
14,0.5988,0.497,0.5217,0.6512
15,0.6186,0.6403,0.5,0.8241
16,0.5237,0.4792,0.5761,0.5534
17,0.6008,0.5998,0.5,0.6897
18,0.6047,0.6225,0.5,0.6729
19,0.5642,0.4783,0.5,0.6719
20,0.5702,0.5109,0.5,0.6897
21,0.5506,0.5565,0.5714,0.5595
22,0.5949,0.5692,0.5,0.5158
23,0.5731,0.5504,0.6611,0.752
24,0.5128,0.5,0.5474,0.6482
25,0.5237,0.5287,0.5217,0.6858
26,0.7202,0.6726,0.622,0.7381
27,0.5425,0.5356,0.498,0.5632
28,0.6235,0.58,0.6077,0.5366
29,0.587,0.5623,0.5,0.7826
30,0.5714,0.5119,0.625,0.6548
